ROK;MIESIAC;OW_NFZ;NIP_PODMIOTU;KOD_PRODUKTU_KONTRAKTOWEGO;KOD_PRODUKTU_JEDNOSTKOWEGO;KOD_TRYBU_PRZYJECIA;KOD_TRYBU_WYPISU;PLEC_PACJENTA;GRUPA_WIEKOWA_PACJENTA;PRZEDZIAL_DLUGOSCI_TRWANIA_HOSPITALIZACJI;LICZBA_HOSPITALIZACJI
2022;4;"07";"1132866688";"03.4580.991.02";"5.51.01.0008013";6;2;"K";"65 i wiecej";"6 i więcej dni";"<5"
2022;8;"02";"5562239217";"03.4220.030.02";"5.51.01.0001087";3;2;"K";"45-64";"6 i więcej dni";"<5"
2022;1;"07";"7742411908";"03.4500.030.02";"5.51.01.0017007";2;9;"K";"65 i wiecej";"6 i więcej dni";"<5"
2022;9;"03";"7122409395";"03.4500.030.02";"5.51.01.0008083";3;2;"M";"45-64";"6 i więcej dni";"<5"
2022;11;"03";"9462146139";"03.4580.991.02";"5.51.01.0008015";6;2;"K";"65 i wiecej";"6 i więcej dni";"<5"
2022;9;"15";"7842008454";"03.4450.040.02";"5.51.01.0012014";3;2;"K";"65 i wiecej";"0 dni";"<5"
2022;4;"13";"6572195982";"03.4500.030.02";"5.51.01.0006109";6;2;"K";"65 i wiecej";"3-5 dni";"<5"
2022;1;"11";"5832580921";"03.4580.030.02";"5.51.01.0008099";6;2;"K";"45-64";"1-2 dni";"<5"
2022;9;"07";"1181417683";"03.4401.030.02";"5.51.01.0014004";3;2;"K";"0-17";"1-2 dni";"<5"
2022;7;"07";"7742411908";"03.4000.030.02";"5.51.01.0016056";3;1;"M";"45-64";"6 i więcej dni";"<5"
2022;12;"15";"7642088098";"03.4220.130.02";"5.51.01.0001048";2;9;"M";"65 i wiecej";"6 i więcej dni";"<5"
2022;6;"05";"8361081857";"03.4500.030.02";"5.51.01.0006072";6;2;"K";"18-44";"3-5 dni";"<5"
2022;4;"07";"8212056050";"03.4340.030.02";"5.51.01.0004018";2;1;"K";"65 i wiecej";"6 i więcej dni";"<5"
2022;3;"13";"9591294907";"03.4250.030.02";"5.51.01.0006103";6;2;"K";"65 i wiecej";"1-2 dni";"<5"
2022;7;"09";"7921805707";"03.4401.030.02";"5.51.01.0014003";3;1;"K";"0-17";"3-5 dni";"<5"
2022;10;"06";"6772247459";"03.4100.030.02";"5.51.01.0005032";6;2;"M";"45-64";"6 i więcej dni";"<5"
2022;4;"08";"7471571941";"03.4000.030.02";"5.51.01.0004028";3;1;"M";"65 i wiecej";"3-5 dni";"<5"
2022;7;"15";"7811619837";"03.4150.030.02";"5.51.01.0016062";8;3;"M";"18-44";"3-5 dni";"<5"
2022;9;"01";"9121650658";"03.4000.030.02";"5.51.01.0006036";6;2;"M";"45-64";"1-2 dni";"<5"
2022;10;"02";"8741484403";"03.4000.030.02";"5.51.01.0005094";3;2;"M";"45-64";"6 i więcej dni";"<5"
2022;4;"15";"7772754458";"03.4220.030.02";"5.51.01.0001045";3;1;"K";"65 i wiecej";"6 i więcej dni";"<5"
2022;3;"02";"8792076803";"03.4580.030.02";"5.51.01.0008063";3;2;"M";"45-64";"1-2 dni";"<5"
2022;9;"16";"8512537954";"03.4640.030.02";"5.51.01.0011026";6;1;"M";"65 i wiecej";"1-2 dni";"<5"
2022;1;"08";"7561747987";"03.4450.050.02";"5.51.01.0012015";3;2;"K";"65 i wiecej";"0 dni";"<5"
2022;6;"15";"7792033466";"03.4100.030.02";"5.51.01.0005094";3;1;"M";"18-44";"3-5 dni";"<5"
2022;3;"07";"5212932455";"03.4580.030.02";"5.51.01.0008084";3;2;"M";"18-44";"1-2 dni";"<5"
2022;5;"08";"7491790304";"03.4272.030.02";"5.51.01.0004050";6;2;"K";"65 i wiecej";"3-5 dni";"<5"
2022;1;"03";"7122410926";"03.4520.130.02";"5.51.01.0004002";3;2;"M";"45-64";"6 i więcej dni";"<5"
2022;6;"12";"6252247223";"03.4580.030.02";"5.51.01.0017007";2;2;"K";"65 i wiecej";"6 i więcej dni";"<5"
2022;3;"13";"9591291292";"03.4600.030.02";"5.51.01.0002017";6;1;"K";"65 i wiecej";"0 dni";"<5"
2022;3;"01";"8862385315";"03.4272.030.02";"5.51.01.0004050";6;2;"M";"65 i wiecej";"3-5 dni";"<5"
2022;1;"15";"6681580495";"03.4000.030.02";"5.51.01.0005094";3;2;"K";"65 i wiecej";"1-2 dni";"<5"
2022;3;"07";"5214004558";"03.4100.030.02";"5.51.01.0005057";6;2;"K";"65 i wiecej";"1-2 dni";"<5"
2022;5;"01";"6932175190";"03.4500.030.02";"5.51.01.0006100";3;2;"M";"45-64";"3-5 dni";"<5"
2022;11;"12";"9542274017";"03.4050.030.02";"5.51.01.0007035";6;2;"M";"65 i wiecej";"1-2 dni";"<5"
2022;10;"01";"8831598671";"03.4220.030.02";"5.51.01.0001067";2;2;"K";"65 i wiecej";"6 i więcej dni";"<5"
2022;12;"04";"9731025315";"03.4401.030.02";"5.51.01.0014004";3;2;"K";"0-17";"6 i więcej dni";"5"
2022;12;"06";"7361459982";"03.4580.030.02";"5.51.01.0008055";6;2;"M";"65 i wiecej";"1-2 dni";"<5"
2022;8;"12";"6381522246";"03.4421.150.02";"5.51.01.0013025";5;1;"K";"0-17";"6 i więcej dni";"<5"
2022;12;"01";"9151523806";"03.4401.030.02";"5.51.01.0014004";3;1;"K";"0-17";"1-2 dni";"<5"
2022;11;"01";"8981816856";"03.4000.030.02";"5.51.01.0004052";3;2;"K";"65 i wiecej";"6 i więcej dni";"<5"
2022;3;"10";"5422534985";"03.4610.998.02";"5.51.01.0003016";6;2;"M";"65 i wiecej";"3-5 dni";"<5"
2022;7;"06";"6762083306";"03.4100.030.02";"5.51.01.0005073";3;2;"M";"65 i wiecej";"3-5 dni";"<5"
2022;10;"13";"6551662705";"03.4272.030.02";"5.51.01.0004019";2;2;"M";"65 i wiecej";"6 i więcej dni";"<5"
2022;4;"12";"6442876726";"03.4000.030.02";"5.51.01.0015066";2;2;"K";"65 i wiecej";"6 i więcej dni";"<5"
2022;10;"12";"6342670310";"03.4580.030.02";"5.51.01.0017007";2;3;"M";"65 i wiecej";"6 i więcej dni";"<5"
2022;2;"12";"6262511259";"03.4401.030.02";"5.51.01.0014030";3;1;"M";"0-17";"3-5 dni";"<5"
2022;6;"12";"6252247223";"03.4000.030.02";"5.51.01.0007038";6;1;"K";"45-64";"3-5 dni";"<5"
2022;7;"12";"6321753077";"03.4501.030.02";"5.51.01.0014006";3;2;"M";"0-17";"1-2 dni";"<5"
2022;10;"14";"8451995130";"03.4220.130.02";"5.51.01.0001048";2;1;"M";"65 i wiecej";"6 i więcej dni";"<5"
2022;2;"12";"5482001181";"03.4500.030.02";"5.51.01.0006037";6;2;"K";"65 i wiecej";"1-2 dni";"<5"
2022;12;"09";"5170119412";"03.4220.030.02";"5.51.01.0001045";6;1;"K";"45-64";"1-2 dni";"<5"
2022;12;"15";"7811617330";"03.4530.040.02";"5.51.01.0015041";3;2;"M";"65 i wiecej";"6 i więcej dni";"<5"
2022;6;"09";"8132919313";"03.4600.030.02";"5.51.01.0002017";3;1;"M";"18-44";"6 i więcej dni";"<5"
2022;6;"02";"5581766857";"03.4450.040.02";"5.51.01.0012026";6;2;"K";"18-44";"0 dni";"<5"
2022;4;"06";"6772247459";"03.4100.030.02";"5.51.01.0005027";6;2;"M";"45-64";"1-2 dni";"9"
2022;11;"11";"5911694694";"03.4220.030.02";"5.51.01.0001057";3;2;"M";"18-44";"6 i więcej dni";"<5"
2022;10;"09";"6871640438";"03.4000.030.02";"5.51.01.0006100";6;2;"M";"45-64";"3-5 dni";"<5"
2022;5;"05";"7732419096";"03.4500.030.02";"5.51.01.0006062";3;2;"M";"18-44";"1-2 dni";"<5"
2022;1;"06";"9552268113";"03.4450.240.02";"5.51.01.0013001";3;2;"K";"18-44";"3-5 dni";"15"
